isin,name
IE00B4ND3602,Physical Gold USD (Acc)
JP3166000004,Ebara Corp.
KYG017191142,Alibaba Group
US55405W1045,MYR Group Inc.
IE000IM4K4K2,AI Metaverse and Blockchain USD (Acc)
US84615Q1031,Space Exploration Techs. Corp. (SpaceX)
US8716071076,Synopsys Inc.
US6078281002,Modine Manufacturing Co.
US3023011063,EZCORP Inc.
US11135F1012,Broadcom Inc.
IE000NFR7C63,MSCI China Tech USD (Acc)
US8740391003,Taiwan Semiconductor (ADR)
US92826C8394,Visa Inc.
US30303M1027,Meta Platforms (A)
JE00B1VS3333,Physical Silver USD
US5949724083,Strategy Inc. (MicroStrategy A)
US0404132054,Arista Networks Inc.
LU1900066975,MSCI Korea EUR (Acc)
NL0010273215,ASML Holding N.V.
DE000A0D6554,Nordex SE
DE000A1E0HR8,Physical Gold EUR
IE00BK5BCD43,Artificial Intelligence USD (Acc)
JE00B1VS3002,Physical Palladium USD
IE00BHZRR147,FTSE China USD (Acc)
DE0006766504,Aurubis AG
IE00BZCQB185,MSCI India USD (Acc)
LU1407887915,US Treasury Bond 7-10Y USD (Acc)
IE00BHZRQZ17,FTSE India USD (Acc)
CRYPTO_ETH,Ethereum
CRYPTO_SOL,Solana
CRYPTO_ADA,Cardano
CRYPTO_XRP,XRP
CRYPTO_BTC,Bitcoin
SALDO_CONTANTI,Saldo contanti
